"Case_ID","arm","avg_ratio","log_ratio","SCNA_event"
"TCGA-DU-A5TP-01A-11D-A288-01","chr9p",0.798187726372043,-0.3252,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr9q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr10p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr10q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr11p",0.465606558071987,-1.1028167161272,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr11q",0.318883200452744,-1.6489,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr12p",1.42503761414878,0.511,1
"TCGA-DU-A5TP-01A-11D-A288-01","chr12q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr13p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr13q",0.728196645493675,-0.4576,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr14p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr14q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr15p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr15q",0.190742342419935,-2.39030295538741,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr16p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr16q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr17p",0.153679858406823,-2.702,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr17q",1.45276783698997,0.538804168087894,1
"TCGA-DU-A5TP-01A-11D-A288-01","chr18p",0.618223328471622,-0.6938,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr18q",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr19p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr19q",0.639468626586097,-0.64505451510642,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr20p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr20q",0.34379012245808,-1.5404,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr21p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr21q",0.618062595332345,-0.69417513798351,-1
"TCGA-DU-A5TP-01A-11D-A288-01","chr22p",1,0,0
"TCGA-DU-A5TP-01A-11D-A288-01","chr22q",0.602862125178879,-0.7301,-1
"TCGA-HT-7603-01A-21D-2085-01","chr1p",1,0,0
